OBJECTID,GIS_ID,NAME,WEB_URL,ADDRESS,LINE,TRAININFO_,X,Y
1,mstn_57,Archives-Navy Mem'l,https://www.wmata.com/rider-guide/stations/archives.cfm,"701 PENNSYLVANIA AVENUE NW, WASHINGTON, DC","green,yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#F02|Archives-Navy Memorial-Penn Quarter,-77.02191668,38.89367301
2,mstn_58,Waterfront,https://www.wmata.com/rider-guide/stations/waterfront.cfm,"399 M STREET SW, WASHINGTON, DC",green,https://www.wmata.com/js/nexttrain/nexttrain.html#F04|Waterfront,-77.0175075,38.87646965
3,mstn_59,Ronald Reagan Washington National Airport,https://www.wmata.com/rider-guide/stations/national-airport.cfm,"2400 S. SMITH BLVD., ARLINGTON, VA","blue,yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#C10|Ronald%20Reagan%20Washington%20National%20Airport,-77.04404459,38.85342416
4,mstn_60,Van Dorn Street,https://www.wmata.com/rider-guide/stations/van-dorn-st.cfm,"5690 EISENHOWER AVENUE, ALEXANDRIA, VA","blue,yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#J02|Van%20Dorn%20Street,-77.12911384,38.79931543
5,mstn_61,Franconia-Springfield,https://www.wmata.com/rider-guide/stations/franconia-sprngfld.cfm,"6880 FRONTIER DRIVE, SPRINGFIELD, VA","blue,yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#J03|Franconia-Springfield,-77.16797251,38.76652965
6,mstn_62,Federal Center SW,https://www.wmata.com/rider-guide/stations/federal-ctr-sw.cfm,"401 3RD STREET SW, WASHINGTON, DC","blue,orange,silver",https://www.wmata.com/js/nexttrain/nexttrain.html#D04|Federal Center SW,-77.0158705,38.88508014
7,mstn_63,Judiciary Sq,https://www.wmata.com/rider-guide/stations/judiciary-sq.cfm,"450 F STREET NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B02|Judiciary Square,-77.01664125,38.8960981
8,mstn_64,Capitol South,https://www.wmata.com/rider-guide/stations/capitol-south.cfm,"355 1ST STREET SE, WASHINGTON, DC","blue,orange,silver",https://www.wmata.com/js/nexttrain/nexttrain.html#D05|Capitol South,-77.0051417,38.88507028
9,mstn_65,Metro Center,https://www.wmata.com/rider-guide/stations/metro-center.cfm,"607 13TH STREET NW, WASHINGTON, DC","red,blue,orange,silver","https://www.wmata.com/js/nexttrain/nexttrain.html#A01,C01|Metro Center",-77.02808029,38.89832226
10,mstn_66,Gallery Pl-Chinatown,https://www.wmata.com/rider-guide/stations/gallery-place.cfm,"630 H STREET NW, WASHINGTON, DC","red,green,yellow","https://www.wmata.com/js/nexttrain/nexttrain.html#B01,F01|Gallery Pl-Chinatown",-77.02191768,38.8983246
11,mstn_67,Mt Vernon Sq - 7th St Convention Center,https://www.wmata.com/rider-guide/stations/mt-vernon-sq.cfm,"700 M STREET NW, WASHINGTON, DC","green,yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E01|Mt Vernon Sq 7th St-Convention Center,-77.02191667,38.9064446
12,mstn_68,U St/African-Amer Civil War Memorial/Cardozo,https://www.wmata.com/rider-guide/stations/u-street.cfm,"1300 U STREET NW, WASHINGTON, DC","green,yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E03|U%20Street/African-Amer%20Civil%20War%20Memorial/Cardozo,-77.02749819,38.91701019
13,mstn_69,Union Station,https://www.wmata.com/rider-guide/stations/union-station.cfm,"701 1ST STREET NE, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B03|Union%20Station,-77.00741658,38.89777383
14,mstn_70,Congress Heights,https://www.wmata.com/rider-guide/stations/congress-hghts.cfm,"1290 ALABAMA AVENUE SE, WASHINGTON, DC",green,https://www.wmata.com/js/nexttrain/nexttrain.html#F07|Congress Heights,-76.98851421,38.84566548
15,mstn_71,Naylor Road,https://www.wmata.com/rider-guide/stations/naylor-rd.cfm,"3101 BRANCH AVENUE, TEMPLE HILLS, MD",green,https://www.wmata.com/js/nexttrain/nexttrain.html#F09|Naylor Road,-76.95626498,38.85130916
16,mstn_72,Suitland,https://www.wmata.com/rider-guide/stations/suitland.cfm,"4500 SILVER HILL ROAD, SUITLAND, MD",green,https://www.wmata.com/js/nexttrain/nexttrain.html#F10|Suitland,-76.93187242,38.84397233
17,mstn_73,Branch Ave,https://www.wmata.com/rider-guide/stations/branch-ave.cfm,"4704 OLD SOPER ROAD, SUITLAND, MD",green,https://www.wmata.com/js/nexttrain/nexttrain.html#F11|Branch Ave,-76.91146647,38.82645412
18,mstn_74,Braddock Road,https://www.wmata.com/rider-guide/stations/braddock-rd.cfm,"700 N. WEST ST., ALEXANDRIA, VA","blue,yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#C12|Braddock Road,-77.05366987,38.81415144
19,mstn_75,King St - Old Town,https://www.wmata.com/rider-guide/stations/king-street.cfm,"1900 KING STREET, ALEXANDRIA, VA","blue,yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#C13|King St-Old Town,-77.06081351,38.80659388
20,mstn_76,Eisenhower Ave,https://www.wmata.com/rider-guide/stations/eisenhower-ave.cfm,"2400 EISENHOWER AVENUE, ALEXANDRIA, VA",yellow,https://www.wmata.com/js/nexttrain/nexttrain.html#C14|Eisenhower Avenue,-77.07087669,38.80043321
21,mstn_77,Huntington,https://www.wmata.com/rider-guide/stations/huntington.cfm,"2701 HUNTINGTON AVENUE, ALEXANDRIA, VA",yellow,https://www.wmata.com/js/nexttrain/nexttrain.html#C15|Huntington,-77.07520809,38.79392362
22,mstn_78,Anacostia,https://www.wmata.com/rider-guide/stations/anacostia.cfm,"1101 HOWARD ROAD SE, WASHINGTON, DC",green,https://www.wmata.com/js/nexttrain/nexttrain.html#F06|Anacostia,-76.99537302,38.8629709
23,mstn_79,Eastern Market,https://www.wmata.com/rider-guide/stations/eastern-market.cfm,"701 PENNSYLVANIA AVENUE SE, WASHINGTON, DC","blue,orange,silver",https://www.wmata.com/js/nexttrain/nexttrain.html#D06|Eastern Market,-76.99600341,38.88463005
24,mstn_80,Potomac Ave,https://www.wmata.com/rider-guide/stations/potomac-ave.cfm,"700 14TH STREET SE, WASHINGTON, DC","blue,orange,silver",https://www.wmata.com/js/nexttrain/nexttrain.html#D07|Potomac Ave,-76.9854976,38.88127106
25,mstn_81,Stadium Armory,https://www.wmata.com/rider-guide/stations/stadium-armory.cfm,"192 19TH STREET SE, WASHINGTON, DC","blue,orange,silver",https://www.wmata.com/js/nexttrain/nexttrain.html#D08|Stadium-Armory,-76.97709118,38.88671688
26,mstn_82,Rhode Island Ave,https://www.wmata.com/rider-guide/stations/rhode-island-ave.cfm,"919 RHODE ISLAND AVENUE NE, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B04|Rhode%20Island%20Ave-Brentwood,-76.9959392,38.92106748
27,mstn_83,Minnesota Ave,https://www.wmata.com/rider-guide/stations/minnesota-ave.cfm,"400 MINNESOTA AVENUE NE, WASHINGTON, DC",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#D09|Minnesota Ave,-76.94675,38.89919901
28,mstn_84,Van Ness-UDC,https://www.wmata.com/rider-guide/stations/van-ness.cfm,"4200 CONNECTICUT AVENUE NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A06|Van%20Ness-UDC,-77.06298849,38.94327308
29,mstn_85,Cleveland Park,https://www.wmata.com/rider-guide/stations/cleveland-park.cfm,"3599 CONNECTICUT AVENUE NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A05|Cleveland Park,-77.05804482,38.93477068
30,mstn_86,Columbia Heights,https://www.wmata.com/rider-guide/stations/columbia-hghts.cfm,"3030 14TH STREET NW, WASHINGTON, DC","green,yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E04|Columbia Heights,-77.03255441,38.92784576
31,mstn_93,Spring Hill,https://www.wmata.com/rider-guide/stations/spring-hill.cfm,"1576 SPRING HILL ROAD VIENNA, VA 22182",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N04|Spring%20Hill,-77.24156035,38.92895963
32,mstn_94,Greensboro,https://www.wmata.com/rider-guide/stations/greensboro.cfm,"8305 LEESBURG PIKE VIENNA, VA 22182",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N03|Greensboro,-77.2338802,38.92096318
33,mstn_95,Tysons Corner,https://www.wmata.com/rider-guide/stations/tysons-corner.cfm,"1943 CHAIN BRIDGE ROAD MCLEAN, VA 22102",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N02|Tysons%20Corner,-77.22171804,38.92068205
34,mstn_96,McLean,https://www.wmata.com/rider-guide/stations/mclean.cfm,"1824 DOLLEY MADISON BOULIVARD MCLEAN, VA 22102",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N01|McLean,-77.21008129,38.92452955
35,mstn_97,Wiehle-Reston East,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm,"1862 WIEHLE AVENUE RESTON, VA 20190",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N06|Wiehle-Reston%20East,-77.34006222,38.94774066
36,mstn_1,College Park-U of Md,https://www.wmata.com/rider-guide/stations/college-park.cfm,"4931 CALVERT ROAD, COLLEGE PARK, MD","green,yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E09|College Park-U of MD,-76.92812725,38.97864144
37,mstn_2,Capitol Heights,https://www.wmata.com/rider-guide/stations/capitol-hghts.cfm,"133 CENTRAL AVENUE, CAPITOL HEIGHTS, MD","blue,orange,silver",https://www.wmata.com/js/nexttrain/nexttrain.html#G02|Capitol Heights,-76.91181037,38.88947365
38,mstn_3,Morgan Boulevard,https://www.wmata.com/rider-guide/stations/morgan-blvd.cfm,"300 GARRETT MORGAN BLVD., LANDOVER, MD","blue,orange,silver",https://www.wmata.com/js/nexttrain/nexttrain.html#G04|Morgan Boulevard,-76.86807701,38.89384272
39,mstn_4,Georgia Ave Petworth,https://www.wmata.com/rider-guide/stations/georgia-ave.cfm,"3700 GEORGIA AVENUE NW, WASHINGTON, DC","green,yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E05|Georgia Ave-Petworth,-77.0234632,38.93744242
40,mstn_5,Takoma,https://www.wmata.com/rider-guide/stations/takoma.cfm,"327 CEDAR STREET NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B07|Takoma,-77.01817899,38.97608633
41,mstn_6,Glenmont,https://www.wmata.com/rider-guide/stations/glenmont.cfm,"12501 GEORGIA AVENUE, SILVER SPRING, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B11|Glenmont,-77.05355967,39.06179158
42,mstn_7,Wheaton,https://www.wmata.com/rider-guide/stations/wheaton.cfm,"11171 GEORGIA AVENUE, SILVER SPRING, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B10|Wheaton,-77.05010936,39.03753496
43,mstn_8,Forest Glen,https://www.wmata.com/rider-guide/stations/forest-glen.cfm,"9730 GEORGIA AVENUE, FOREST GLEN, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B09|Forest Glen,-77.04291886,39.01496208
44,mstn_9,Silver Spring,https://www.wmata.com/rider-guide/stations/silver-spring.cfm,"8400 COLESVILLE ROAD, SILVER SPRING, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B08|Silver%20Spring,-77.03102013,38.99395718
45,mstn_10,Brookland-CUA,https://www.wmata.com/rider-guide/stations/brookland.cfm,"801 MICHIGAN AVENUE NE, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B05|Brookland-CUA,-76.99453657,38.93321879
46,mstn_11,Fort Totten,https://www.wmata.com/rider-guide/stations/fort-totten.cfm,"550 GALLOWAY STREET NE, WASHINGTON, DC","red,green,yellow","https://www.wmata.com/js/nexttrain/nexttrain.html#B06,E06|Fort Totten",-77.00220536,38.95185457
47,mstn_12,Prince George's Plaza,https://www.wmata.com/rider-guide/stations/prince-georges-plz.cfm,"3575 EAST WEST HIGHWAY, HYATTSVILLE, MD","green,yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E08|Prince%20George%27s%20Plaza,-76.95588378,38.96539325
48,mstn_13,West Hyattsville,https://www.wmata.com/rider-guide/stations/west-hyattsville.cfm,"2700 HAMILTON ST., HYATTSVILLE, MD","green,yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E07|West%20Hyattsville,-76.96957895,38.95504797
49,mstn_14,Benning Road,https://www.wmata.com/rider-guide/stations/benning-rd.cfm,"4500 BENNING ROAD NE, WASHINGTON, DC","blue,orange,silver",https://www.wmata.com/js/nexttrain/nexttrain.html#G01|Benning Road,-76.93836713,38.89098346
50,mstn_15,Addison Road Seat Pleasant,https://www.wmata.com/rider-guide/stations/addison-rd.cfm,"100 ADDISON ROAD S., CAPITOL HEIGHTS, MD","blue,orange,silver",https://www.wmata.com/js/nexttrain/nexttrain.html#G03|Addison Road-Seat Pleasant,-76.89411016,38.88675561
51,mstn_16,Deanwood,https://www.wmata.com/rider-guide/stations/deanwood.cfm,"4720 MINNESOTA AVENUE NE, WASHINGTON, DC",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#D10|Deanwood,-76.93525905,38.90818629
52,mstn_17,New Carrollton,https://www.wmata.com/rider-guide/stations/new-carrollton.cfm,"4700 GARDEN CITY DRIVE, NEW CARROLLTON, MD",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#D13|New Carrollton,-76.87184353,38.94779266
53,mstn_18,Landover,https://www.wmata.com/rider-guide/stations/landover.cfm,"3000 PENNSY DRIVE, HYATTSVILLE, MD",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#D12|Landover,-76.89120022,38.93351403
54,mstn_19,Cheverly,https://www.wmata.com/rider-guide/stations/cheverly.cfm,"5501 COLUMBIA PARK, CHEVERLY, MD 
",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#D11|Cheverly,-76.9166303,38.91663965
55,mstn_20,Largo Town Center,https://www.wmata.com/rider-guide/stations/largo-town-ctr.cfm,"LARGO TOWN CENTER, 9000 LOTTSFORD ROAD, LARGO, MD","blue,orange,silver",https://www.wmata.com/js/nexttrain/nexttrain.html#G05|Largo Town Center,-76.84455387,38.90060751
56,mstn_21,NoMa - Gallaudet U,https://www.wmata.com/rider-guide/stations/new-york-ave.cfm,"200 FLORIDA AVENUE NE, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B35|NoMa-Gallaudet U,-77.00302273,38.907024
57,mstn_22,Rosslyn,https://www.wmata.com/rider-guide/stations/rosslyn.cfm,"1850 N. MOORE STREET, ARLINGTON, VA","blue,orange,silver",https://www.wmata.com/js/nexttrain/nexttrain.html#C05|Rosslyn,-77.07091099,38.89598688
58,mstn_23,Arlington|Cemetery,https://www.wmata.com/rider-guide/stations/arlington-cemetery.cfm,"1000 NORTH MEMORIAL DRIVE, ARLINGTON, VA",blue,https://www.wmata.com/js/nexttrain/nexttrain.html#C06|Arlington Cemetery,-77.06281243,38.88469464
59,mstn_24,Dupont Circle,https://www.wmata.com/rider-guide/stations/dupont-circle.cfm,"1525 20TH STREET NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A03|Dupont Circle,-77.04341666,38.90960585
60,mstn_25,Pentagon,https://www.wmata.com/rider-guide/stations/pentagon.cfm,"2 SOUTH ROTARY ROAD, ARLINGTON, VA","blue,yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#C07|Pentagon,-77.05371797,38.86947048
61,mstn_26,Crystal City,https://www.wmata.com/rider-guide/stations/crystal-city.cfm,"1750 SOUTH CLARK ST., ARLINGTON, VA","blue,yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#C09|Crystal City,-77.05029211,38.8579121
62,mstn_27,Navy Yard - Ballpark,https://www.wmata.com/rider-guide/stations/navy-yard.cfm,"200 M STREET SE, WASHINGTON, DC",green,https://www.wmata.com/js/nexttrain/nexttrain.html#F05|Navy Yard-Ballpark,-77.00508794,38.87648887
63,mstn_28,McPherson Sq,https://www.wmata.com/rider-guide/stations/mcpherson-sq.cfm,"1400 I STREET NW, WASHINGTON, DC","blue,orange,silver",https://www.wmata.com/js/nexttrain/nexttrain.html#C02|McPherson Square,-77.03363647,38.90134058
64,mstn_29,Shaw-Howard Univ,https://www.wmata.com/rider-guide/stations/shaw-howard.cfm,"1701 8TH STREET NW, WASHINGTON, DC","green,yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E02|Shaw-Howard%20U,-77.02191399,38.91348466
65,mstn_30,Southern Ave,https://www.wmata.com/rider-guide/stations/southern-ave.cfm,"1411 SOUTHERN AVENUE, TEMPLE HILLS, MD",green,https://www.wmata.com/js/nexttrain/nexttrain.html#F08|Southern%20Avenue,-76.97505641,38.84109356
66,mstn_31,Greenbelt,https://www.wmata.com/rider-guide/stations/greenbelt.cfm,"5717 GREENBELT METRO DRIVE, GREENBELT, MD","green,yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E10|Greenbelt,-76.91105984,39.01115367
67,mstn_32,Tenleytown-AU,https://www.wmata.com/rider-guide/stations/tenleytown.cfm,"4501 WISCONSIN AVENUE NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A07|Tenleytown-AU,-77.07958964,38.94885923
68,mstn_33,West Falls Church VT/UVA,https://www.wmata.com/rider-guide/stations/w-falls-church.cfm,"7040 HAYCOCK ROAD, FALLS CHURCH, VA",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#K06|West%20Falls%20Church-VT/UVA,-77.18909717,38.90078833
69,mstn_34,Dunn Loring Merrifield,https://www.wmata.com/rider-guide/stations/dunn-loring.cfm,"2700 GALLOWS ROAD, VIENNA, VA",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#K07|Dunn Loring-Merrifield,-77.22716303,38.88363291
70,mstn_35,Vienna Fairfax-GMU,https://www.wmata.com/rider-guide/stations/vienna.cfm,"2900 NUTLEY ST., FAIRFAX, VA",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#K08|Vienna/Fairfax-GMU,-77.27262462,38.8776089
71,mstn_36,Friendship Heights,https://www.wmata.com/rider-guide/stations/friendship-hghts.cfm,"5337 WISCONSIN AVENUE NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A08|Friendship Heights,-77.08499812,38.95949167
72,mstn_37,Shady Grove,https://www.wmata.com/rider-guide/stations/shady-grove.cfm,"15903 SOMERVILLE DRIVE, DERWOOD, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A15|Shady%20Grove,-77.16462968,39.11993515
73,mstn_38,Rockville,https://www.wmata.com/rider-guide/stations/rockville.cfm,"251 HUNGERFORD DRIVE, ROCKVILLE, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A14|Rockville,-77.14612768,39.08432943
74,mstn_39,Twinbrook,https://www.wmata.com/rider-guide/stations/twinbrook.cfm,"1600 CHAPMAN AVENUE, ROCKVILLE, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A13|Twinbrook,-77.12082028,39.06247547
75,mstn_40,White Flint,https://www.wmata.com/rider-guide/stations/white-flint.cfm,"5500 MARINELLI ROAD, ROCKVILLE, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A12|White%20Flint,-77.11283219,39.04815917
76,mstn_41,Grosvenor-Strathmore,https://www.wmata.com/rider-guide/stations/grosvenor.cfm,"10300 ROCKVILLE PIKE, BETHESDA, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A11|Grosvenor-Strathmore,-77.10385204,39.02927676
77,mstn_42,Medical Center,https://www.wmata.com/rider-guide/stations/medical-center.cfm,"8810 ROCKVILLE PIKE, BETHESDA, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A10|Medical Center,-77.09695461,39.00006429
78,mstn_43,Bethesda,https://www.wmata.com/rider-guide/stations/bethesda.cfm,"7450 WISCONSIN AVENUE, BETHESDA, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A09|Bethesda,-77.09413151,38.98440146
79,mstn_44,Foggy Bottom GWU,https://www.wmata.com/rider-guide/stations/foggy-bottom.cfm,"2301 I STREET NW, WASHINGTON, DC","blue,orange,silver",https://www.wmata.com/js/nexttrain/nexttrain.html#C04|Foggy Bottom-GWU,-77.05028004,38.90070579
80,mstn_45,Court House,https://www.wmata.com/rider-guide/stations/court-house.cfm,"2100 WILSON BLVD, ARLINGTON, VA","orange,silver",https://www.wmata.com/js/nexttrain/nexttrain.html#K01|Court House,-77.08713354,38.89018331
81,mstn_46,Clarendon,https://www.wmata.com/rider-guide/stations/clarendon.cfm,"3100 WILSON BLVD, ARLINGTON, VA","orange,silver",https://www.wmata.com/js/nexttrain/nexttrain.html#K02|Clarendon,-77.09539641,38.88671262
82,mstn_47,East Falls Church,https://www.wmata.com/rider-guide/stations/e-falls-church.cfm,"2001 N. SYCAMORE ST., ARLINGTON, VA","orange,silver",https://www.wmata.com/js/nexttrain/nexttrain.html#K05|East Falls Church,-77.15688535,38.88596094
83,mstn_48,Virginia Square-GMU,https://www.wmata.com/rider-guide/stations/virginia-sq.cfm,"3600 FAIRFAX DRIVE, ARLINGTON, VA","orange,silver",https://www.wmata.com/js/nexttrain/nexttrain.html#K03|Virginia%20Square-GMU,-77.10297961,38.88337393
84,mstn_49,Ballston-MU,https://www.wmata.com/rider-guide/stations/ballston.cfm,"4230 FAIRFAX DRIVE, ARLINGTON, VA","orange,silver",https://www.wmata.com/js/nexttrain/nexttrain.html#K04|Ballston-MU,-77.11317115,38.88219065
85,mstn_50,Farragut West,https://www.wmata.com/rider-guide/stations/farragut-west.cfm,"900 18TH STREET NW, WASHINGTON, DC","blue,orange,silver",https://www.wmata.com/js/nexttrain/nexttrain.html#C03|Farragut West,-77.04069771,38.90132068
86,mstn_51,Farragut North,https://www.wmata.com/rider-guide/stations/farragut-north.cfm,"1001 CONNECTICUT AVENUE NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A02|Farragut North,-77.03970312,38.90320973
87,mstn_52,Woodley Park-Zoo Adams Morgan,https://www.wmata.com/rider-guide/stations/woodley-park.cfm,"2700 24TH STREET NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A04|Woodley%20Park-Zoo/Adams%20Morgan,-77.05242032,38.92509293
88,mstn_53,L'Enfant Plaza,https://www.wmata.com/rider-guide/stations/lenfant-plaza.cfm,"600 MARYLAND AVENUE SW, WASHINGTON, DC","green,yellow,orange,blue,silver","https://www.wmata.com/js/nexttrain/nexttrain.html#F03,D03|L'Enfant Plaza",-77.02191077,38.88484551
89,mstn_54,Smithsonian,https://www.wmata.com/rider-guide/stations/smithsonian.cfm,"1200 INDEPENDENCE AVENUE SW, WASHINGTON, DC","blue,orange,silver",https://www.wmata.com/js/nexttrain/nexttrain.html#D02|Smithsonian,-77.02806853,38.88802649
90,mstn_55,Pentagon City,https://www.wmata.com/rider-guide/stations/pentagon-city.cfm,"1250 SOUTH HAYES ST., ARLINGTON, VA","blue,yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#C08|Pentagon City,-77.05954122,38.86189016
91,mstn_56,Federal Triangle,https://www.wmata.com/rider-guide/stations/federal-triangle.cfm,"302 12TH STREET NW, WASHINGTON, DC","blue,orange,silver",https://www.wmata.com/js/nexttrain/nexttrain.html#D01|Federal Triangle,-77.02813429,38.89318866