name,station_code
Metro Center,A01
Farragut North,A02
Dupont Circle,A03
Woodley Park-Zoo/Adams Morgan,A04
Cleveland Park,A05
Van Ness-UDC,A06
Tenleytown-AU,A07
Friendship Heights,A08
Bethesda,A09
Medical Center,A10
Grosvenor-Strathmore,A11
White Flint,A12
Twinbrook,A13
Rockville,A14
Shady Grove,A15
Shady Grove Yard,A99
Gallery Pl-Chinatown,B01
Judiciary Square,B02
Union Station,B03
New York Ave-Florida Ave-Gallaudet U,B35
Rhode Island Ave-Brentwood,B04
Brookland-CUA,B05
Fort Totten,B06
Takoma,B07
Silver Spring,B08
Forest Glen,B09
Wheaton,B10
Glenmont,B11
Glenmont Yard,B98
Brentwood Yard,B99
Metro Center,C01
McPherson Sq,C02
Farragut West,C03
Foggy Bottom-GWU,C04
Rosslyn,C05
Arlington Cemetery,C06
Pentagon,C07
Pentagon City,C08
Crystal City,C09
Ronald Reagan Washington National Airport,C10
Potomac Yard,C11
Braddock Road,C12
King Street,C13
Eisenhower Ave,C14
Huntington,C15
C & J Junction,C97
Alexandria Yard Leads,C98
Alexandria Yard,C99
Federal Triangle,D01
Smithsonian,D02
L'Enfant Plaza,D03
Federal Center SW,D04
Capitol South,D05
Eastern Market,D06
Potomac Ave,D07
Stadium-Armory,D08
Minnesota Ave,D09
Deanwood,D10
Cheverly,D11
Landover,D12
New Carrolton,D13
New Carrolton Yard,D99
Mt Vernon Sq/7th St-Convention Center,E01
Shaw-Howard U,E02
U St/African-Amer Civil War Memorial/Cardozo,E03
Columbia Heights,E04
Georgia Ave-Petworth,E05
Fort Totten,E06
West Hyattsville,E07
Prince George's Plaza,E08
College Park-U of MD,E09
Greenbelt,E10
Greenbelt Yard,E99
Gallery Pl-Chinatown,F01
Archives-Navy Mem'l-Penn Quarter,F02
L'Enfant Plaza,F03
Waterfront-SEU,F04
Navy Yard,F05
Anacostia,F06
Congress Heights,F07
Southern Ave,F08
Naylor Road,F09
Suitland,F10
Branch Avenue,F11
Branch Avenue Yard,F99
Benning Road,G01
Capitol Heights,G02
Addison Road-Seat Pleasant,G03
Morgan Boulevard,G04
Largo Town Center,G05
Quaker Lane,J01
Van Dorn Street,J02
Franconia-Springfield,J03
Court House,K01
Clarendon,K02
Virginia Sq-GMU,K03
Ballston-MU,K04
East Falls Church,K05
West Falls Church-VT/UVA,K06
Dunn Loring-Merrifield,K07
Vienna/Fairfax-GMU,K08
Falls Church Yard,K99
McLean,N01
Tysons Corner,N02
Greensboro,N03
Spring Hill,N04
Wiehle – Reston East,N06